region,carrier,scenario,substance,time,value
DE, wtr, high_env_pol, car,2020,5193432470
DE, wtr, low_env_pol, car,2020,5193432470
DE, sldg, high_env_pol, car,2020,636118951
DE, sldg, low_env_pol, car,2020,636118951
DE, wtr, high_env_pol, cec,2020,1053079.531
DE, wtr, low_env_pol, cec,2020,1053079.531
DE, sldg, high_env_pol, cec,2020,0
DE, sldg, low_env_pol, cec,2020,0
DE, wtr, high_env_pol, car,2035,5149786485
DE, wtr, low_env_pol, car,2035,5149786485
DE, sldg, high_env_pol, car,2035,630772961
DE, sldg, low_env_pol, car,2035,630772961
DE, wtr, high_env_pol, cec,2035,1044229.374
DE, wtr, low_env_pol, cec,2035,1044229.374
DE, sldg, high_env_pol, cec,2035,0
DE, sldg, low_env_pol, cec,2035,0
DE, wtr, high_env_pol, car,2045,5058262875
DE, wtr, low_env_pol, car,2045,5058262875
DE, sldg, high_env_pol, car,2045,619562667.4
DE, sldg, low_env_pol, car,2045,619562667.4
DE, wtr, high_env_pol, cec,2045,1025671.004
DE, wtr, low_env_pol, cec,2045,1025671.004
DE, sldg, high_env_pol, cec,2045,0
DE, sldg, low_env_pol, cec,2045,0
