region,carrier,scenario,time,technology,value
DE,wtr,high_env_pol,2020,aop,0
DE,wtr,high_env_pol,2020,nof,0.974248453
DE,wtr,high_env_pol,2020,o3,0.012875774
DE,wtr,high_env_pol,2020,gac,0.012875774
DE,wtr,low_env_pol,2020,nof,0.974248453
DE,wtr,low_env_pol,2020,aop,0
DE,wtr,low_env_pol,2020,o3,0.012875774
DE,wtr,low_env_pol,2020,gac,0.012875774
DE,wtr,high_env_pol,2035,nof,0.7
DE,wtr,high_env_pol,2035,aop,0.03
DE,wtr,high_env_pol,2035,o3,0.15
DE,wtr,high_env_pol,2035,gac,0.12
DE,wtr,low_env_pol,2035,nof,0.7
DE,wtr,low_env_pol,2035,aop,0
DE,wtr,low_env_pol,2035,o3,0.15
DE,wtr,low_env_pol,2035,gac,0.15
DE,wtr,high_env_pol,2045,nof,0
DE,wtr,high_env_pol,2045,aop,0.5
DE,wtr,high_env_pol,2045,o3,0.3
DE,wtr,high_env_pol,2045,gac,0.2
DE,wtr,low_env_pol,2045,nof,0
DE,wtr,low_env_pol,2045,aop,0
DE,wtr,low_env_pol,2045,o3,0.5
DE,wtr,low_env_pol,2045,gac,0.5
DE,sldg,high_env_pol,2020,aop,0
DE,sldg,high_env_pol,2020,nof,0
DE,sldg,high_env_pol,2020,o3,0
DE,sldg,high_env_pol,2020,gac,0
DE,sldg,low_env_pol,2020,nof,0
DE,sldg,low_env_pol,2020,aop,0
DE,sldg,low_env_pol,2020,o3,0
DE,sldg,low_env_pol,2020,gac,0
DE,sldg,high_env_pol,2035,nof,0
DE,sldg,high_env_pol,2035,aop,0
DE,sldg,high_env_pol,2035,o3,0
DE,sldg,high_env_pol,2035,gac,0
DE,sldg,low_env_pol,2035,nof,0
DE,sldg,low_env_pol,2035,aop,0
DE,sldg,low_env_pol,2035,o3,0
DE,sldg,low_env_pol,2035,gac,0
DE,sldg,high_env_pol,2045,nof,0
DE,sldg,high_env_pol,2045,aop,0
DE,sldg,high_env_pol,2045,o3,0
DE,sldg,high_env_pol,2045,gac,0
DE,sldg,low_env_pol,2045,nof,0
DE,sldg,low_env_pol,2045,aop,0
DE,sldg,low_env_pol,2045,o3,0
DE,sldg,low_env_pol,2045,gac,0
DE,oxi_con,high_env_pol,2020,aop,0
DE,oxi_con,high_env_pol,2020,nof,0
DE,oxi_con,high_env_pol,2020,o3,0
DE,oxi_con,high_env_pol,2020,gac,0
DE,oxi_con,low_env_pol,2020,nof,0
DE,oxi_con,low_env_pol,2020,aop,0
DE,oxi_con,low_env_pol,2020,o3,0
DE,oxi_con,low_env_pol,2020,gac,0
DE,oxi_con,high_env_pol,2035,nof,0
DE,oxi_con,high_env_pol,2035,aop,0
DE,oxi_con,high_env_pol,2035,o3,0
DE,oxi_con,high_env_pol,2035,gac,0
DE,oxi_con,low_env_pol,2035,nof,0
DE,oxi_con,low_env_pol,2035,aop,0
DE,oxi_con,low_env_pol,2035,o3,0
DE,oxi_con,low_env_pol,2035,gac,0
DE,oxi_con,high_env_pol,2045,nof,0
DE,oxi_con,high_env_pol,2045,aop,0
DE,oxi_con,high_env_pol,2045,o3,0
DE,oxi_con,high_env_pol,2045,gac,0
DE,oxi_con,low_env_pol,2045,nof,0
DE,oxi_con,low_env_pol,2045,aop,0
DE,oxi_con,low_env_pol,2045,o3,0
DE,oxi_con,low_env_pol,2045,gac,0
